,session1,session2,label,volume1,volume2,volume_diff,dice,surface_dice,hd95,label_name,volume_diff_noabs,percentage_vol_diff
0,ses-001,ses-002,1002,3658.0,3730.0,72.0,0.8486735246345425,0.9920958210586828,1.0,Caudal Anterior Cingulate L,-72.0,-0.0193029490616622
3,ses-001,ses-002,1006,1366.0,1238.0,128.0,0.8018433179723502,0.9851063829988285,1.0,Entorhinal Cortex L,128.0,0.10339256865912763
4,ses-001,ses-002,1007,8926.0,8988.0,62.0,0.7908898068549738,0.9817178280653492,1.0,Fusiform Gyrus L,-62.0,-0.006898086337338674
5,ses-001,ses-002,1008,13453.0,13660.0,207.0,0.7806587245970568,0.9829301548576235,1.0,Inferior Parietal L,-207.0,-0.015153733528550513
9,ses-001,ses-002,1012,8199.0,8652.0,453.0,0.8456471426028129,0.9841800558720988,1.0,Lateral Orbitofrontal L,-453.0,-0.05235783633841886
11,ses-001,ses-002,1014,4749.0,4930.0,181.0,0.8056617419154871,0.9824829167374836,1.0,Medial Orbitofrontal L,-181.0,-0.03671399594320487
25,ses-001,ses-002,1028,28479.0,29800.0,1321.0,0.8548533777175312,0.9952697598088265,1.0,Superior Frontal L,-1321.0,-0.04432885906040269
27,ses-001,ses-002,1030,17696.0,16908.0,788.0,0.8092706045543868,0.978580544218569,1.0,Superior Temporal L,788.0,0.046605157321977765
30,ses-001,ses-002,1035,6269.0,6470.0,201.0,0.8674150247272157,0.9945104759863473,1.0,Insula L,-201.0,-0.03106646058732612
31,ses-001,ses-002,2002,2342.0,2343.0,1.0,0.8345784418356457,0.994084714100507,1.0,Caudal Anterior Cingulate R,-1.0,-0.0004268032437046522
34,ses-001,ses-002,2006,1368.0,1161.0,207.0,0.7734282325029656,0.9382757559755396,1.7320508075688772,Entorhinal Cortex R,207.0,0.17829457364341086
35,ses-001,ses-002,2007,7652.0,7782.0,130.0,0.7811325644680576,0.9591353120645564,1.0,Fusiform Gyrus R,-130.0,-0.01670521716782318
36,ses-001,ses-002,2008,16300.0,16675.0,375.0,0.799393479909022,0.9687968596969411,1.0,Inferior Parietal R,-375.0,-0.022488755622188907
40,ses-001,ses-002,2012,9003.0,9116.0,113.0,0.844196699597108,0.978199793832057,1.0,Lateral Orbitofrontal R,-113.0,-0.012395787626151821
42,ses-001,ses-002,2014,4314.0,4516.0,202.0,0.7753114382785957,0.9619937252648513,1.0,Medial Orbitofrontal R,-202.0,-0.04472984942426927
56,ses-001,ses-002,2028,33620.0,34304.0,684.0,0.8571049997055533,0.9925524330437278,1.0,Superior Frontal R,-684.0,-0.01993936567164179
58,ses-001,ses-002,2030,17463.0,17054.0,409.0,0.7844250659095519,0.9584437245354157,1.0,Superior Temporal R,409.0,0.02398264336812478
61,ses-001,ses-002,2035,6374.0,6406.0,32.0,0.8674491392801252,0.9916930146922324,1.0,Insula R,-32.0,-0.004995316890415236
62,ses-002,ses-003,1002,3730.0,3862.0,132.0,0.8187565858798735,0.9811349178372011,1.0,Caudal Anterior Cingulate L,-132.0,-0.03417918177110305
65,ses-002,ses-003,1006,1238.0,1246.0,8.0,0.7326892109500805,0.9471556345719605,1.4142135623730951,Entorhinal Cortex L,-8.0,-0.006420545746388443
66,ses-002,ses-003,1007,8988.0,8742.0,246.0,0.8136491821771009,0.985393948753115,1.0,Fusiform Gyrus L,246.0,0.028140013726835965
67,ses-002,ses-003,1008,13660.0,13626.0,34.0,0.8262845415231254,0.9930332248289873,1.0,Inferior Parietal L,34.0,0.002495229707911346
71,ses-002,ses-003,1012,8652.0,8531.0,121.0,0.8237211197113427,0.9850045826699555,1.0,Lateral Orbitofrontal L,121.0,0.014183565818778573
73,ses-002,ses-003,1014,4930.0,4867.0,63.0,0.7769725426150863,0.9827810506565121,1.0,Medial Orbitofrontal L,63.0,0.012944318882268338
87,ses-002,ses-003,1028,29800.0,28983.0,817.0,0.8540224214483779,0.9944970290363412,1.0,Superior Frontal L,817.0,0.028188938343166683
89,ses-002,ses-003,1030,16908.0,16688.0,220.0,0.8081319204667222,0.9872205104686893,1.0,Superior Temporal L,220.0,0.013183125599232981
92,ses-002,ses-003,1035,6470.0,6135.0,335.0,0.8306227687425625,0.9832118627348966,1.0,Insula L,335.0,0.05460472697636512
93,ses-002,ses-003,2002,2343.0,2273.0,70.0,0.8262564991334489,0.9935144691923892,1.0,Caudal Anterior Cingulate R,70.0,0.030796304443466784
96,ses-002,ses-003,2006,1161.0,1262.0,101.0,0.7437061494015683,0.9412876425222203,1.4142135623730951,Entorhinal Cortex R,-101.0,-0.08003169572107766
97,ses-002,ses-003,2007,7782.0,7958.0,176.0,0.7979669631512071,0.9632110218301226,1.0,Fusiform Gyrus R,-176.0,-0.022116109575270167
98,ses-002,ses-003,2008,16675.0,16827.0,152.0,0.8262790281177244,0.9894370028162667,1.0,Inferior Parietal R,-152.0,-0.009033101562964283
102,ses-002,ses-003,2012,9116.0,8697.0,419.0,0.8272609891652164,0.9857569444971908,1.0,Lateral Orbitofrontal R,419.0,0.048177532482465216
104,ses-002,ses-003,2014,4516.0,4274.0,242.0,0.7488054607508532,0.9665680571438956,1.0,Medial Orbitofrontal R,242.0,0.056621431913897985
118,ses-002,ses-003,2028,34304.0,33546.0,758.0,0.8515549005158438,0.9916239006440699,1.0,Superior Frontal R,758.0,0.022595838550050675
120,ses-002,ses-003,2030,17054.0,16605.0,449.0,0.8019846103568139,0.9750096263639384,1.0,Superior Temporal R,449.0,0.02704004817825956
123,ses-002,ses-003,2035,6406.0,6282.0,124.0,0.8508827238335435,0.993124851761216,1.0,Insula R,124.0,0.01973893664438077
124,ses-003,ses-004,1002,3862.0,3912.0,50.0,0.8263442243375354,0.9768396637378466,1.0,Caudal Anterior Cingulate L,-50.0,-0.01278118609406953
127,ses-003,ses-004,1006,1246.0,1399.0,153.0,0.7122873345935727,0.922030270686314,1.4142135623730951,Entorhinal Cortex L,-153.0,-0.1093638313080772
128,ses-003,ses-004,1007,8742.0,9198.0,456.0,0.7924191750278706,0.9677639987288663,1.0,Fusiform Gyrus L,-456.0,-0.04957599478147423
129,ses-003,ses-004,1008,13626.0,13986.0,360.0,0.755468636824569,0.9780620509156075,1.0,Inferior Parietal L,-360.0,-0.02574002574002574
133,ses-003,ses-004,1012,8531.0,8517.0,14.0,0.7802674800563116,0.9704403622082333,1.0,Lateral Orbitofrontal L,14.0,0.0016437712809674767
135,ses-003,ses-004,1014,4867.0,5146.0,279.0,0.7080794966543493,0.9509421416817613,1.4142135623730951,Medial Orbitofrontal L,-279.0,-0.05421686746987952
149,ses-003,ses-004,1028,28983.0,24910.0,4073.0,0.738017924405767,0.9691738686418976,1.0,Superior Frontal L,4073.0,0.1635086310718587
151,ses-003,ses-004,1030,16688.0,17942.0,1254.0,0.7874675137164309,0.9748106707744811,1.0,Superior Temporal L,-1254.0,-0.06989187381562814
154,ses-003,ses-004,1035,6135.0,6188.0,53.0,0.8338878519840948,0.989092525274736,1.0,Insula L,-53.0,-0.00856496444731739
155,ses-003,ses-004,2002,2273.0,2323.0,50.0,0.81940818102698,0.9934182002959956,1.0,Caudal Anterior Cingulate R,-50.0,-0.02152389151958674
158,ses-003,ses-004,2006,1262.0,1438.0,176.0,0.662962962962963,0.9112688402296902,1.4142135623730951,Entorhinal Cortex R,-176.0,-0.12239221140472879
159,ses-003,ses-004,2007,7958.0,8151.0,193.0,0.7793159103606679,0.9675390076577224,1.0,Fusiform Gyrus R,-193.0,-0.023678076309655256
160,ses-003,ses-004,2008,16827.0,16428.0,399.0,0.7779882724402345,0.9718133765745204,1.0,Inferior Parietal R,399.0,0.02428780131482834
164,ses-003,ses-004,2012,8697.0,8413.0,284.0,0.7417884278199883,0.9565980859186612,1.4142135623730951,Lateral Orbitofrontal R,284.0,0.03375728039938191
166,ses-003,ses-004,2014,4274.0,4465.0,191.0,0.6996223824236183,0.9585609159734382,1.4142135623730951,Medial Orbitofrontal R,-191.0,-0.042777155655095184
180,ses-003,ses-004,2028,33546.0,29786.0,3760.0,0.758194909366513,0.97064078192304,1.0,Superior Frontal R,3760.0,0.1262338011146176
182,ses-003,ses-004,2030,16605.0,17852.0,1247.0,0.7820181675711757,0.9660878317092372,1.0,Superior Temporal R,-1247.0,-0.06985211740981402
185,ses-003,ses-004,2035,6282.0,6317.0,35.0,0.8121279466624335,0.982767288285578,1.0,Insula R,-35.0,-0.00554060471742916
186,ses-004,ses-005,1002,3912.0,3837.0,75.0,0.7182862304813524,0.9558529768851778,1.4142135623730951,Caudal Anterior Cingulate L,75.0,0.019546520719311962
189,ses-004,ses-005,1006,1399.0,1404.0,5.0,0.7356403853014627,0.9272956185065842,1.4142135623730951,Entorhinal Cortex L,-5.0,-0.0035612535612535613
190,ses-004,ses-005,1007,9198.0,9056.0,142.0,0.6652788429933165,0.9278795256764396,1.4142135623730951,Fusiform Gyrus L,142.0,0.015680212014134276
191,ses-004,ses-005,1008,13986.0,13385.0,601.0,0.6918271162909649,0.9612394684494981,1.0,Inferior Parietal L,601.0,0.044901008591707134
195,ses-004,ses-005,1012,8517.0,8753.0,236.0,0.6957730167921251,0.9357721195386001,1.4142135623730951,Lateral Orbitofrontal L,-236.0,-0.026962184393922083
197,ses-004,ses-005,1014,5146.0,4646.0,500.0,0.6593137254901961,0.9270042399435504,1.4142135623730951,Medial Orbitofrontal L,500.0,0.1076194575979337
211,ses-004,ses-005,1028,24910.0,27526.0,2616.0,0.6428789381341063,0.9411866777075552,1.4142135623730951,Superior Frontal L,-2616.0,-0.0950374191673327
213,ses-004,ses-005,1030,17942.0,17586.0,356.0,0.7949786084215267,0.9713652081351404,1.0,Superior Temporal L,356.0,0.02024337541225975
216,ses-004,ses-005,1035,6188.0,6228.0,40.0,0.8419780927835051,0.9942306203939241,1.0,Insula L,-40.0,-0.006422607578676943
217,ses-004,ses-005,2002,2323.0,2373.0,50.0,0.6780238500851788,0.9693992068642779,1.0,Caudal Anterior Cingulate R,-50.0,-0.02107037505267594
220,ses-004,ses-005,2006,1438.0,1417.0,21.0,0.6865148861646234,0.8996904250387027,2.23606797749979,Entorhinal Cortex R,21.0,0.014820042342978124
221,ses-004,ses-005,2007,8151.0,7616.0,535.0,0.7398997907020993,0.9674726792249849,1.0,Fusiform Gyrus R,535.0,0.0702468487394958
222,ses-004,ses-005,2008,16428.0,15862.0,566.0,0.696934035305048,0.9520598671642082,1.4142135623730951,Inferior Parietal R,566.0,0.03568276383810364
226,ses-004,ses-005,2012,8413.0,8774.0,361.0,0.6375749112701461,0.9078370229915445,1.4142135623730951,Lateral Orbitofrontal R,-361.0,-0.041144289947572375
228,ses-004,ses-005,2014,4465.0,3928.0,537.0,0.5964494221374955,0.9080841894680771,1.7320508075688772,Medial Orbitofrontal R,537.0,0.13671079429735233
242,ses-004,ses-005,2028,29786.0,32114.0,2328.0,0.6366397415185784,0.9319961875343514,1.4142135623730951,Superior Frontal R,-2328.0,-0.0724917481472255
