session1,session2,label,volume1,volume2,volume_diff,dice,surface_dice,hd95,subject
ses-siteATTd1,ses-siteATTd2,52,2128.0,2128.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd2,53,4668.0,4668.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd2,54,1732.0,1732.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd2,58,727.0,727.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd2,60,4881.0,4881.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd2,1002,3581.0,3581.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd2,1006,1915.0,1915.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd2,1007,8783.0,8783.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd2,1008,16799.0,16799.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd2,1012,9521.0,9521.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd2,1014,5363.0,5363.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd2,1028,25407.0,25407.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd2,1030,16935.0,16935.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd2,1035,6594.0,6594.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd2,2002,2198.0,2198.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd2,2006,1850.0,1850.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd2,2007,9858.0,9858.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd2,2008,16983.0,16983.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd2,2012,9860.0,9860.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd2,2014,5474.0,5474.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd2,2028,29198.0,29198.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd2,2030,19128.0,19128.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd2,2035,6554.0,6554.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd3,10,9328.0,9328.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd3,11,4166.0,4166.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd3,12,5117.0,5117.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd3,13,2260.0,2260.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd3,17,4325.0,4325.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd3,18,1612.0,1612.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd3,26,648.0,648.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd3,28,4810.0,4810.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd3,49,9357.0,9357.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd3,50,4233.0,4233.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd3,51,5200.0,5200.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd3,52,2128.0,2128.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd3,53,4668.0,4668.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd3,54,1732.0,1732.0,0.0,1.0,1.0,0.0,sub-01
